 -320,	  -53830,
 -300,    -50680,
 -270,    -45955,
 -240,    -41055,
 -210,    -36026,
 -180,    -30926,
 -150,    -25796,
 -120,    -20646,
  -90,    -15488,
  -60,    -10327,
  -30,     -5219,
    0,       244,
   30,      5220,
   60,     10324,
   90,     15475,
  120,     20650,
  150,     25797,
  180,     30915,
  210,     36000,
  240,     41020,
  270,    45911,
  300,     50634,
  320,	  55357,
  300,     50634,
  270,    45913,
  240,     41016,
  210,     36009,
  180,     30920,
  150,     25791,
  120,     20652,
   90,     15490,
   60,     10325,
   30,      5220,
    0,       246,
  -30,     -5216,
  -60,    -10325,
  -90,    -15482,
 -120,    -20648,
 -150,   -25804,
 -180,    -30941,
 -210,    -35997,
 -240,    -41044,
 -270,    -45943,
 -300,    -50680,
 -320,	 -53830
 
